Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sprint1,Chrome 113.0.0.0,,,2023-05-11 13:48:26,2023-05-11 13:53:46,5m - 19.981s,FAILED
,,,,,,,
Test Cases/Sprint 1/Login,Chrome 113.0.0.0,,,2023-05-11 13:48:38,2023-05-11 13:49:01,23.055s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-11 13:48:38,2023-05-11 13:48:47,9.196s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-11 13:48:47,2023-05-11 13:48:47,0.294s,PASSED
"navigateToUrl(""https://livesust-test-web.optisolbusiness.com/login"")",Chrome 113.0.0.0,,,2023-05-11 13:48:47,2023-05-11 13:48:54,6.507s,PASSED
"setText(findTestObject(""Object Repository/Page_LiveSust/input_Provider Log In_Username  E-Mail Address""), ""Benedicta@yopmail.com"")",Chrome 113.0.0.0,,,2023-05-11 13:48:54,2023-05-11 13:48:55,1.516s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Username  E-Mail Address_Password""), ""A6mEPJzh5E0zn4FxjKHQNA=="")",Chrome 113.0.0.0,,,2023-05-11 13:48:55,2023-05-11 13:48:56,0.686s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/button_Log In""))",Chrome 113.0.0.0,,,2023-05-11 13:48:56,2023-05-11 13:48:57,0.645s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_LiveSust/div_Login successfully""), 0)",Chrome 113.0.0.0,,,2023-05-11 13:48:57,2023-05-11 13:48:59,2.593s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-11 13:48:59,2023-05-11 13:49:01,1.577s,PASSED
,,,,,,,
Test Cases/Sprint 1/Postive scenario of change password,Chrome 113.0.0.0,,,2023-05-11 13:50:04,2023-05-11 13:50:23,19.776s,FAILED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-11 13:50:04,2023-05-11 13:50:09,4.970s,PASSED
"navigateToUrl(""https://livesust-test-web.optisolbusiness.com/login"")",Chrome 113.0.0.0,,,2023-05-11 13:50:09,2023-05-11 13:50:12,3.440s,PASSED
"setText(findTestObject(""Object Repository/Page_LiveSust/input_Provider Log In_Username  E-Mail Address""), ""Benedicta@yopmail.com"")",Chrome 113.0.0.0,,,2023-05-11 13:50:12,2023-05-11 13:50:13,1.222s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Username  E-Mail Address_Password""), ""A6mEPJzh5E0jyMlyB9kA3w=="")",Chrome 113.0.0.0,,,2023-05-11 13:50:13,2023-05-11 13:50:14,0.643s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/button_Log In""))",Chrome 113.0.0.0,,,2023-05-11 13:50:14,2023-05-11 13:50:15,0.723s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:50:15,2023-05-11 13:50:18,2.974s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/li_Change Password""))",Chrome 113.0.0.0,,,2023-05-11 13:50:18,2023-05-11 13:50:23,5.767s,FAILED
,,,,,,,
Test Cases/Sprint 1/Negative scenario of change password,Chrome 113.0.0.0,,,2023-05-11 13:50:23,2023-05-11 13:51:06,43.010s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-11 13:50:24,2023-05-11 13:50:29,4.865s,PASSED
"navigateToUrl(""https://livesust-test-web.optisolbusiness.com/login"")",Chrome 113.0.0.0,,,2023-05-11 13:50:29,2023-05-11 13:50:33,3.645s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-11 13:50:33,2023-05-11 13:50:33,0.204s,PASSED
"setText(findTestObject(""Object Repository/Page_LiveSust/input_Provider Log In_Username  E-Mail Address""), ""Benedicta@yopmail.com"")",Chrome 113.0.0.0,,,2023-05-11 13:50:33,2023-05-11 13:50:34,1.141s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Username  E-Mail Address_Password""), ""A6mEPJzh5E0zn4FxjKHQNA=="")",Chrome 113.0.0.0,,,2023-05-11 13:50:34,2023-05-11 13:50:35,0.597s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/button_Log In""))",Chrome 113.0.0.0,,,2023-05-11 13:50:35,2023-05-11 13:50:36,0.749s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/button_Benedicta Company Name""))",Chrome 113.0.0.0,,,2023-05-11 13:50:36,2023-05-11 13:50:42,6.696s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/li_Change Password""))",Chrome 113.0.0.0,,,2023-05-11 13:50:42,2023-05-11 13:50:43,0.600s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Change Password_Old Password""), ""gpRo7Svha2ybAjs0UyWd6A=="")",Chrome 113.0.0.0,,,2023-05-11 13:50:43,2023-05-11 13:50:44,0.841s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:50:44,2023-05-11 13:50:44,0.537s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:50:44,2023-05-11 13:50:45,0.516s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Old Password_New Password""), ""A6mEPJzh5E0zn4FxjKHQNA=="")",Chrome 113.0.0.0,,,2023-05-11 13:50:45,2023-05-11 13:50:45,0.682s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:50:45,2023-05-11 13:50:46,0.559s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:50:46,2023-05-11 13:50:46,0.485s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Maximum of 20 Characters_Confirm Password""), ""A6mEPJzh5E0zn4FxjKHQNA=="")",Chrome 113.0.0.0,,,2023-05-11 13:50:46,2023-05-11 13:50:47,0.733s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:50:47,2023-05-11 13:50:48,0.610s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:50:48,2023-05-11 13:50:49,0.790s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/button_Save Password""))",Chrome 113.0.0.0,,,2023-05-11 13:50:49,2023-05-11 13:50:49,0.561s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_LiveSust/div_Invalid old password""), 0)",Chrome 113.0.0.0,,,2023-05-11 13:50:49,2023-05-11 13:50:50,1.159s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Change Password_Old Password""), ""A6mEPJzh5E0jyMlyB9kA3w=="")",Chrome 113.0.0.0,,,2023-05-11 13:50:50,2023-05-11 13:50:51,0.888s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/div_Old Password_password-eye ng-star-inserted""))",Chrome 113.0.0.0,,,2023-05-11 13:50:51,2023-05-11 13:50:52,0.726s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:50:52,2023-05-11 13:50:53,0.593s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:50:53,2023-05-11 13:50:53,0.586s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Old Password_New Password""), ""A6mEPJzh5E0jyMlyB9kA3w=="")",Chrome 113.0.0.0,,,2023-05-11 13:50:53,2023-05-11 13:50:54,0.922s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:50:54,2023-05-11 13:50:55,0.519s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:50:55,2023-05-11 13:50:55,0.609s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Maximum of 20 Characters_Confirm Password""), ""A6mEPJzh5E0jyMlyB9kA3w=="")",Chrome 113.0.0.0,,,2023-05-11 13:50:55,2023-05-11 13:50:56,0.634s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:50:56,2023-05-11 13:50:56,0.543s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/button_Save Password""))",Chrome 113.0.0.0,,,2023-05-11 13:50:56,2023-05-11 13:50:57,0.512s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_LiveSust/div_Old password and New password should no_ff3087""))",Chrome 113.0.0.0,,,2023-05-11 13:50:57,2023-05-11 13:50:58,1.029s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Change Password_Old Password""), ""A6mEPJzh5E0jyMlyB9kA3w=="")",Chrome 113.0.0.0,,,2023-05-11 13:50:58,2023-05-11 13:50:58,0.536s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:50:58,2023-05-11 13:50:59,0.716s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:50:59,2023-05-11 13:51:00,0.478s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Old Password_New Password""), ""A6mEPJzh5E0zn4FxjKHQNA=="")",Chrome 113.0.0.0,,,2023-05-11 13:51:00,2023-05-11 13:51:00,0.595s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:51:00,2023-05-11 13:51:01,0.480s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/em_Company Name_lnr lnr-chevron-down""))",Chrome 113.0.0.0,,,2023-05-11 13:51:01,2023-05-11 13:51:01,0.479s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Maximum of 20 Characters_Confirm Password""), ""A6mEPJzh5E0zn4FxjKHQNA=="")",Chrome 113.0.0.0,,,2023-05-11 13:51:01,2023-05-11 13:51:02,0.660s,PASSED
