Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sprint 4,Chrome 113.0.0.0,,,2023-06-02 12:53:08,2023-06-02 13:51:34,58m - 25.124s,FAILED
,,,,,,,
Test Cases/Sprint 4/Add equip,Chrome 113.0.0.0,,,2023-06-02 12:58:32,2023-06-02 13:00:27,1m - 54.724s,FAILED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-02 12:58:32,2023-06-02 12:58:38,5.669s,PASSED
"navigateToUrl(""https://livesust-test-web.optisolbusiness.com/login"")",Chrome 113.0.0.0,,,2023-06-02 12:58:38,2023-06-02 12:58:42,4.162s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-06-02 12:58:42,2023-06-02 12:58:42,0.158s,PASSED
"setText(findTestObject(""Object Repository/Page_LiveSust/input_Provider Log In_Username  E-Mail Address""), ""Sachin@yopmail.com"")",Chrome 113.0.0.0,,,2023-06-02 12:58:42,2023-06-02 12:58:43,1.475s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LiveSust/input_Username  E-Mail Address_Password""), ""+p0xE3Qc9agwqAa4cuTULg=="")",Chrome 113.0.0.0,,,2023-06-02 12:58:43,2023-06-02 12:58:44,0.603s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/button_Log In""))",Chrome 113.0.0.0,,,2023-06-02 12:58:44,2023-06-02 12:58:45,0.620s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/span_Equipment""))",Chrome 113.0.0.0,,,2023-06-02 12:58:45,2023-06-02 12:58:47,2.560s,PASSED
"click(findTestObject(""Object Repository/Page_LiveSust/button_Add Equipment""))",Chrome 113.0.0.0,,,2023-06-02 12:58:47,2023-06-02 12:58:48,1.266s,PASSED
"click(findTestObject(""Page_LiveSust/button_Equipment Type""))",Chrome 113.0.0.0,,,2023-06-02 12:58:48,2023-06-02 12:58:50,1.227s,PASSED
"click(findTestObject(""Page_LiveSust/li_Powered Equipment""))",Chrome 113.0.0.0,,,2023-06-02 12:58:50,2023-06-02 12:59:21,31.601s,PASSED
